OBJECTID,WIJKNAAM,WIJKCODE,DATUM,BEVOLKINGSDICHTHEID,SHAPE_Length,SHAPE_Area
6759,AMANDUS - ATHENEUM,ANT01,2018/01/01 00:00:00+00,20713,4669.43981033134,961170.718380614
6760,BREDERODE,ANT02,2018/01/01 00:00:00+00,15463,3828.14420408315,777770.502586632
6761,CENTRAAL STATION,ANT03,2018/01/01 00:00:00+00,10378,3718.44124250399,725208.300119967
6762,DAM,ANT04,2018/01/01 00:00:00+00,4430,5435.51591963572,1173115.6022328
6763,DONK,EKE01,2018/01/01 00:00:00+00,2083,8784.46821335471,3103762.46459361
6764,EILANDJE,ANT05,2018/01/01 00:00:00+00,1641,6586.73853359942,1992212.53792263
6765,EKEREN CENTRUM,EKE02,2018/01/01 00:00:00+00,4348,8367.81629266991,2630543.16475837
6766,HARINGRODE,ANT06,2018/01/01 00:00:00+00,13574,4368.21985345748,783686.439405215
6767,HARMONIE,ANT07,2018/01/01 00:00:00+00,10204,3768.19781192092,582677.787930391
6768,HOBOKEN - CENTRUM,HOB01,2018/01/01 00:00:00+00,8065,8792.53444003908,1744391.08551377
6769,HOBOKEN - NOORD,HOB02,2018/01/01 00:00:00+00,8630,7972.01398307307,1866016.40629439
6770,HOBOKEN - WEST,HOB03,2018/01/01 00:00:00+00,993,14240.3793576489,4907663.9733752
6771,HOBOKEN - ZUIDOOST,HOB04,2018/01/01 00:00:00+00,3689,7328.97459282223,1204692.71886061
6772,HOOGTE,WIL01,2018/01/01 00:00:00+00,4885,5249.7626921716,1093402.37084487
6773,KIEL,ANT10,2018/01/01 00:00:00+00,14731,6175.33975415252,1351975.21395035
6774,LAMBRECHTSHOEKEN,MER01,2018/01/01 00:00:00+00,9624,5303.12351117213,1100502.89007181
6775,LEUGENBERG,EKE03,2018/01/01 00:00:00+00,700,7048.68685293454,2145411.69679672
6776,LILLO,BEZ02,2018/01/01 00:00:00+00,307,1481.72492294981,133650.908885939
6777,LINKEROEVER,ANT11,2018/01/01 00:00:00+00,1630,13512.4287620743,9955701.44081085
6778,MARIABURG,EKE04,2018/01/01 00:00:00+00,3085,4686.06235048595,1184207.05621059
6779,MERKSEM - HEIDE,MER02,2018/01/01 00:00:00+00,8385,5851.88357063467,1436110.30789654
6780,NIEUWDREEF,MER03,2018/01/01 00:00:00+00,8249,5591.87556422273,844569.517410166
6781,OOSTERVELD - ELSDONK,WIL02,2018/01/01 00:00:00+00,5603,7366.47152592364,1476362.70251302
6782,OUD - MERKSEM,MER04,2018/01/01 00:00:00+00,4739,8477.50371072408,2113597.21197101
6783,POLDER,BEZ03,2018/01/01 00:00:00+00,716,21028.3870150305,13796673.7332941
6784,SCHOONBROEK-ROZEMAAI,ANT17,2018/01/01 00:00:00+00,2360,9900.56451479856,2032328.60240937
6785,STADSPARK,ANT19,2018/01/01 00:00:00+00,15419,4602.92514695795,840038.096441613
6786,STUIVENBERG,ANT20,2018/01/01 00:00:00+00,16125,5731.46617180584,1178874.26622232
6787,TENTOONSTELLINGSWIJK,ANT21,2018/01/01 00:00:00+00,11089,3751.15892871907,449777.814767148
6788,THEATERBUURT-MEIR,ANT22,2018/01/01 00:00:00+00,8481,3988.85519072863,763778.810945801
6789,UNIVERSITEITSBUURT,ANT23,2018/01/01 00:00:00+00,9366,3155.94116593456,591077.558162477
6790,VALAAR,WIL03,2018/01/01 00:00:00+00,8636,5716.03467962393,1243497.90265382
6791,WILRIJK CENTRUM,WIL04,2018/01/01 00:00:00+00,3710,7868.39643520838,2767975.79514166
6792,SINT-ANDRIES,ANT18,2018/01/01 00:00:00+00,13969,2688.59107806449,452025.582817408
6793,ZUID,ANT24,2018/01/01 00:00:00+00,11580,3844.40614925144,755222.571745471
6794,HISTORISCH CENTRUM,ANT09,2018/01/01 00:00:00+00,9653,3424.95562767079,628460.944070008
6795,GROENENHOEK,BER01,2018/01/01 00:00:00+00,8792,6163.38498193593,1279334.18126341
6796,MARKGRAVE,ANT13,2018/01/01 00:00:00+00,5984,4679.31657490661,1057844.06668262
6797,MIDDELHEIM,ANT14,2018/01/01 00:00:00+00,951,6938.59497970619,2739965.15799967
6798,NIEUW - ZUID,ANT15,2018/01/01 00:00:00+00,489,4759.78579837998,900956.205437341
6799,OUD - BERCHEM,BER04,2018/01/01 00:00:00+00,8686,6677.86188446899,1845045.17073954
6800,PETROLEUM - ZUID,ANT16,2018/01/01 00:00:00+00,5,12187.6177487898,2877289.84735378
6801,HAVEN ANTWERPEN,ANT08,2018/01/01 00:00:00+00,2,32486.9780883859,44794006.4756337
6802,HAVEN BEZALI,BEZ01,2018/01/01 00:00:00+00,-1,31546.8218247209,29463431.8646629
6803,NEERLAND,WIL06,2018/01/01 00:00:00+00,1696,6807.36348955501,1820453.04918607
6804,KOORNBLOEM,WIL05,2018/01/01 00:00:00+00,617,10836.335161855,5309084.78547902
6805,DEURNE VLIEGHAVEN,DEU07,2018/01/01 00:00:00+00,105,5705.14080375083,1208230.73555342
6806,KRUININGE - BREMWEIDE,DEU02,2018/01/01 00:00:00+00,1554,6142.95617070734,1348163.57765805
6807,DEURNE NOORD,DEU01,2018/01/01 00:00:00+00,11836,6127.22122671303,1817378.34311704
6808,DEURNE DORP - GALLIFORT,DEU03,2018/01/01 00:00:00+00,11439,4886.56786510819,1180094.91216813
6809,DEURNE OOST,DEU04,2018/01/01 00:00:00+00,6184,8246.10584060079,2484912.86516525
6810,DEURNE ZUID WEST,DEU05,2018/01/01 00:00:00+00,10366,7812.33563911635,1591088.97813831
6811,DEURNE ZUID OOST,DEU06,2018/01/01 00:00:00+00,4783,10129.5953220871,2170487.05494628
6812,RIVIERENHOF,DEU08,2018/01/01 00:00:00+00,19,4945.99982274121,1232234.69353886
6813,BORGERHOUT EXTRA MUROS,BOR01,2018/01/01 00:00:00+00,8927,9273.4167531665,1810603.68664713
6814,BORGERHOUT INTRA MUROS NOORD,BOR02,2018/01/01 00:00:00+00,13276,4931.96088404314,1174436.64765048
6815,BORGERHOUT INTRA MUROS ZUID,BOR03,2018/01/01 00:00:00+00,15761,4817.00857129982,914719.69103068
6816,LUCHTBAL,ANT12,2018/01/01 00:00:00+00,5734,7131.18922799865,1156943.96585101
6817,TUINWIJK,MER05,2018/01/01 00:00:00+00,1639,13165.65570038,2892026.27209773
6818,ZURENBORG,ANT25,2018/01/01 00:00:00+00,12388,3861.43523821116,443386.183643482
6819,NIEUW - KWARTIER OOST,BER02,2018/01/01 00:00:00+00,6050,6638.90895297193,1690744.42118384
6820,NIEUW - KWARTIER WEST,BER03,2018/01/01 00:00:00+00,6777,4536.14742824918,886139.873406759
