"Wijken";"Aantal 0 tem 9-jarigen|2025";"Aantal 10 tem 19-jarigen|2025";"Aantal 20 tem 29-jarigen|2025";"Aantal 30 tem 39-jarigen|2025";"Aantal 40 tem 49-jarigen|2025";"Aantal 50 tem 59-jarigen|2025";"Aantal 60 tem 69-jarigen|2025";"Aantal 70 tem 79-jarigen|2025";"Aantal 80 tem 89-jarigen|2025";"Aantal 90+'ers|2025"
"Amandus - Atheneum";2112;2136;4035;3932;3054;2366;1639;830;366;64
"Brederode";1048;1118;2521;2341;1647;1373;925;648;304;96
"Centraal Station";1333;1201;1683;1577;1139;803;594;312;108;22
"Dam";742;820;1043;1201;840;629;383;159;52;11
"Eilandje";284;226;1015;1108;646;662;558;328;228;77
"Haringrode";1950;1765;2021;1806;1335;1069;739;546;221;89
"Harmonie";538;574;1350;1226;791;696;548;470;327;118
"Haven Antwerpen";8;15;11;8;21;23;22;10;".";"."
"Historisch Centrum";272;306;1312;1127;769;760;749;549;238;38
"Kiel";3122;3552;2658;2608;2849;2374;1652;948;538;146
"Linkeroever";1982;2052;1818;2181;2002;2051;2136;1878;1183;357
"Luchtbal";1081;1211;594;697;896;708;584;370;188;51
"Markgrave";532;575;1353;1157;785;808;640;501;309;153
"Middelheim";249;235;363;434;311;323;300;218;158;52
"Nieuw - Zuid";133;95;377;415;218;209;237;161;100;19
"Petroleum - Zuid";".";".";".";".";".";".";".";".";".";"."
"Sint-Andries";358;398;1316;1086;699;697;625;482;286;81
"Stadspark";2583;2176;2691;2234;1655;1270;874;667;309;92
"Stuivenberg";2422;2875;3144;3036;2685;2104;1408;701;289;45
"Tentoonstellingswijk";562;448;758;809;676;620;478;376;223;59
"Theaterbuurt-Meir";357;335;1811;1454;899;906;736;553;249;43
"Universiteitsbuurt";385;346;1674;1217;724;708;542;344;188;82
"Zuid";575;484;2242;1855;1154;995;803;504;224;40
"Zurenborg";723;657;1204;1132;781;654;431;235;100;10
"Groenenhoek";1303;1377;1376;1838;1533;1306;1198;808;447;84
"Nieuw - Kwartier Oost";840;777;1374;1502;1113;1179;1255;1267;1023;270
"Nieuw - Kwartier West";655;584;955;1046;805;686;654;529;333;131
"Oud - Berchem";1744;1723;2631;2886;2160;1850;1328;925;510;184
"Haven Bezali";"";"";"";"";"";"";"";"";"";""
"Lillo";".";".";".";".";9;7;13;".";".";"."
"Polder";940;1268;1006;1251;1352;1373;1343;939;425;92
"Borgerhout - Extra Muros";2227;1908;2076;2743;2146;1823;1557;1160;780;249
"Borgerhout Intra Muros Noord";2053;2380;2494;2543;2120;1644;1194;690;349;84
"Borgerhout Intra Muros Zuid";1917;2099;2327;2547;2006;1610;1208;760;391;103
"Deurne - Noord";3462;3843;2887;3008;3197;2372;1664;1098;692;217
"Kruininge - Bremweide";330;258;299;392;312;227;241;140;91;45
"Deurne Dorp - Gallifort";1990;2056;1774;2122;1993;1631;1287;922;474;93
"Deurne - Oost";2172;1686;1873;2433;2071;1833;1700;1457;890;164
"Deurne - Zuidwest";2280;2279;2039;2668;2298;1878;1524;1202;716;195
"Deurne - Zuidoost";1701;1352;1359;1980;1653;1255;1319;1098;723;225
"Deurne Vlieghaven";10;16;14;22;13;16;15;6;".";"."
"Rivierenhof";".";".";".";5;".";".";6;".";".";"."
"Donk";841;778;646;950;875;863;806;591;384;106
"Ekeren Centrum";1327;1436;1338;1625;1549;1433;1393;1021;574;190
"Leugenberg";204;222;193;264;218;225;233;128;46;11
"Mariaburg";464;457;429;549;546;505;507;288;130;42
"Schoonbroek-Rozemaai";683;793;487;627;720;557;484;307;178;61
"Muisbroek-Bospolder";"";"";"";"";"";"";"";"";"";""
"Hoboken - Centrum";1972;2216;1789;1923;2059;1695;1550;1199;650;116
"Hoboken - Noord";2499;2677;2246;2364;2368;1969;1558;1021;609;165
"Hoboken - West";345;530;444;406;585;583;624;489;129;28
"Hoboken - Zuidoost";643;856;576;557;684;612;491;357;233;36
"Lambrechtshoeken";1573;1453;1364;1664;1452;1385;1272;989;586;120
"Merksem - Heide";1603;1798;1568;1808;1683;1464;1429;934;391;77
"Nieuwdreef";940;973;828;955;984;813;766;579;321;81
"Oud - Merksem";1483;1676;1501;1575;1422;1179;830;544;301;94
"Tuinwijk";585;615;548;608;547;559;577;508;387;133
"Hoogte";575;601;673;759;718;695;572;417;287;115
"Oosterveld - Elsdonk";1080;951;1106;1396;1150;993;830;672;343;114
"Valaar";1483;1631;1384;1458;1508;1276;1017;707;368;87
"Wilrijk Centrum";1155;1187;1264;1494;1215;1157;1216;1056;742;298
"Koornbloem";379;432;363;410;432;421;429;254;122;16
"Neerland";422;403;360;517;433;421;461;440;233;31
"Schelde";"";"";"";"";"";"";"";"";"";""
"Borsbeek-Groen";334;289;272;330;333;326;315;242;110;14
"Borsbeek-Oost";101;143;132;129;157;125;141;122;103;60
"Borsbeek-West";1061;876;829;1184;922;858;891;683;338;39
