X,Y,OBJECTID,BEHEERDER,NAAM,LABEL,STRAATNAAM,HUISNUMMER,POSTCODE,ID_COMPLEX,TYPE,JURIDISCHE_VORM,WIJK,TOTALE_CAP,NUMMER,ERKENNING,LINK,INFORMATIE,GEMEENTE,TELEFOON,EMAIL,DISTRICT,SPOED
492279.700722991,6653768.33545457,1801,openbaar,ZNA MIDDELHEIM,ZNA Middelheim,Lindendreef,1,2020,ZORG00299,algemeen ziekenhuis,,Antwerpen - Middelheim,736,,,https://www.zna.be/nl/node/7316/,,,03 280 40 52,mi.info@zna.be,Antwerpen,
495536.583146956,6667179.46503439,1802,openbaar,ZNA JAN PALFIJN,ZNA Jan Palfijn,Lange Bremstraat,70,2170,ZORG00300,algemeen ziekenhuis,,Merksem - Tuinwijk,352,,,https://www.zna.be/nl/node/7317/,,,03 640 20 00,jp.info@zna.be,Merksem,
490591.981140949,6659103.86658764,1803,openbaar,ZNA SINT-ELISABETH,ZNA Sint-Elisabeth,Leopoldstraat,26,2000,ZORG00301,algemeen ziekenhuis,,Antwerpen - Theaterbuurt & Meir,204,,,https://www.zna.be/nl/zna-sint-elisabeth,,,03 234 41 11,el.info@zna.be,Antwerpen,
495036.844076366,6658195.1709625,1804,openbaar,ZNA SINT-ERASMUS,ZNA Sint-Erasmus,Luitenant Lippenslaan,55,2140,ZORG00302,algemeen ziekenhuis,,Borgerhout - Extra muros,87,,,https://www.zna.be/nl/zna-sint-erasmus,,,03 270 80 11,er.info@zna.be,Borgerhout,
492295.913083891,6653579.02324895,1805,openbaar,ZNA KONINGIN PAOLA KINDERZIEKENHUIS,ZNA Koningin Paola Kinderziekenhuis,Lindendreef,1,2020,ZORG00304,ziekenhuis,,Antwerpen - Middelheim,,,,https://www.zna.be/nl/zna-koningin-paola-kinderziekenhuis,,,03 280 31 11,pa.info@zna.be,Antwerpen,
493720.250520432,6660718.2490987,1806,openbaar,ZNA STUIVENBERG - SINT-ERASMUS,ZNA Stuivenberg - Sint-Erasmus,Lange Beeldekensstraat,267,2060,ZORG00305,algemeen ziekenhuis,,Antwerpen - Stuivenberg,320,,,https://www.zna.be/nl/node/7318/,,,03 217 75 08,st.info@zna.be,Antwerpen,
491293.853130101,6657700.32585091,1807,prive,AZ SINT-VINCENTIUS,AZ Sint-Vincentius,Sint-Vincentiusstraat,20,2018,ZORG00372,algemeen ziekenhuis,VZW,Antwerpen - Stadspark,336,,,https://www.gzaziekenhuizen.be/campussen,,,03 285 20 00,sint.vincentius@gza.be,Antwerpen,
491211.653825317,6649679.27242123,1808,prive,UNIVERSITAIR ZIEKENHUIS ANTWERPEN,Universitair Ziekenhuis Antwerpen,Wilrijkstraat,10,2650,ZORG00379,algemeen ziekenhuis,,,573,,,https://www.uza.be/,,,03 821 30 00,vragen@uza.be,Edegem,
491921.754617864,6652247.2833076,1809,prive,AZ SINT-AUGUSTINUS,AZ Sint-Augustinus,Oosterveldlaan,22,2610,ZORG00383,algemeen ziekenhuis,,Wilrijk - Oosterveld & Elsdonk,580,,,https://www.gzaziekenhuizen.be/campussen,,,03 443 30 11,sint.augustinus@gza.be,Wilrijk,
497722.445312036,6657906.46955652,1810,prive,AZ MONICA CAMPUS DEURNE,AZ Monica Campus Deurne,Florent Pauwelslei,1,2100,ZORG00385,algemeen ziekenhuis,VZW,Deurne - Zuidwest,265,,,https://www.azmonica.be/nl/index.asp,,,03 320 50 00,,Deurne,
490938.594771378,6657058.8415517,1811,prive,AZ MONICA CAMPUS ANTWERPEN,AZ Monica Campus Antwerpen,Harmoniestraat,68,2018,ZORG00386,algemeen ziekenhuis,VZW,Antwerpen - Harmonie,201,,,https://www.azmonica.be/nl/index.asp,,,03 240 20 20,,Antwerpen,
484570.106003458,6653934.05334031,1812,openbaar,ZNA HOGE BEUKEN,ZNA Hoge Beuken,Commandant Weynsstraat,165,2660,ZORG00426,algemeen ziekenhuis,,Hoboken - Noord,196,,,https://www.zna.be/nl/hartcentrum/zna-hoge-beuken,,,03 830 90 90,hb.info@zna.be,Hoboken,
493730.176789847,6660728.1836236,1813,openbaar,ZNA PSYCHIATRISCH ZIEKENHUIS STUIVENBERG,ZNA Stuivenberg Psychiatrisch Ziekenhuis,Lange Beeldekensstraat,267,2060,ZORG00435,ziekenhuis,,Antwerpen - Stuivenberg,313,,,https://www.zna.be/nl/zna-psychiatrisch-ziekenhuis-stuivenberg,,,03 217 77 50,zna_pz_balie@zna.be,Antwerpen,
490935.439606666,6657068.34989981,1814,prive,AZ MONICA / APRA REVALIDATIECENTRUM,AZ Monica / APRA Revalidatiecentrum,Harmoniestraat,68,2018,ZORG00441,ziekenhuis,VZW,Antwerpen - Harmonie,,,,https://www.azmonica.be/nl/index.asp,,,,,Antwerpen,
491503.610939821,6662324.61551123,1815,prive,ZNA CADIX,ZNA Cadix,Kempenstraat,100,2030,ZORG02978,ziekenhuis,,Antwerpen - Eilandje, , , ,https://www.zna.be/nl/zna-cadix,,, ,project.cadix@zna.be,Antwerpen,
